company_name_id,company_name,company_category
unigo-llc,Unigo LLC,Education
united-mayflower,United Mayflower,Transportation
urban-airship,Urban Airship,Business & Legal Services
urban-mapping-inc,"Urban Mapping, Inc",Geospatial/Mapping
us-green-data,US Green Data,Energy
us-news-schools,U.S. News Schools,Education
usaa-group,USAA Group,Finance & Investment
ussearch,USSearch,Business & Legal Services
verdafero,Verdafero,Data/Technology
vimo,Vimo,Insurance
visualdod-llc,"VisualDoD, LLC",Aerospace and Defense
vital-axiom--niinja,Vital Axiom | Niinja,Data/Technology
vitalchek,VitalChek,Governance
vitals,Vitals,Healthcare
vizzuality,Vizzuality,Geospatial/Mapping
votizen,Votizen,Governance
walk-score,Walk Score,Lifestyle & Consumer
watersmart-software,WaterSmart Software,Environment & Weather
wattzon,WattzOn,Energy
way-better-patents,Way Better Patents,Business & Legal Services
weather-decision-technologies,Weather Decision Technologies,Environment & Weather
weather-underground,Weather Underground,Environment & Weather
webfilings,WebFilings,Finance & Investment
webitects,Webitects,Data/Technology
webmd,WebMD,Healthcare
weight-watchers,Weight Watchers,Lifestyle & Consumer
wemakeitsafer,WeMakeItSafer,Lifestyle & Consumer
wheaton-world-wide-moving,Wheaton World Wide Moving,Transportation
whitby-group,Whitby Group,Research & Consulting
wolfram-research,Wolfram Research,Data/Technology
wolters-kluwer,Wolters Kluwer,Business & Legal Services
workhands,Workhands,Lifestyle & Consumer
xatori,Xatori,Energy
xcential,Xcential,Governance
xdayta,xDayta,Data/Technology
xignite,Xignite,Finance & Investment
yahoo,Yahoo,Lifestyle & Consumer
yei-healthcare,Zebu Compliance Solutions,Healthcare
yelp,Yelp,Lifestyle & Consumer
yourmapper,YourMapper,Geospatial/Mapping
zillow,Zillow,Housing/Real Estate
zocdoc,ZocDoc,Healthcare
zonability,Zonability,Housing/Real Estate
zoner,Zoner,Housing/Real Estate
zurich-insurance-risk-room,Zurich Insurance (Risk Room),Insurance
taller_technologies,Taller Technologies,Technology
inphi,Inphi,Technology/Electronic
google,Google,Technology/Data/Electronic
apple,Apple,Technology/Data/Electronic
